date,time,lat,lon,alt,x_gyro,y_gyro,z_gyro,x_acc,y_acc,z_acc,north,east,down,pitch,yaw,roll,wind_speed,wind_direction
2020-06-15,17:33:08,22.9021756,120.2733492,0.039,0,0,0,-10,31,-999,0.009083330631256104,0.07660579681396484,-0.039420127868652344,-0.025919277220964432,-0.518206000328064,-0.023496132344007492,0,0
2020-06-15,17:33:11,22.9021759,120.2733413,0.898,-177,48,-635,-121,46,-1032,0.036134183406829834,-0.7303749322891235,-0.8987140655517578,-0.11024229228496552,-0.5944032073020935,-0.084481380879879,0,0
2020-06-15,17:33:14,22.9021885,120.2732694,5.646,-117,-30,-12,-149,62,-969,1.4422461986541748,-8.105372428894043,-5.646229267120361,-0.21660080552101135,-1.5001083612442017,0.004885711707174778,0,0
2020-06-15,17:33:17,22.9022043,120.273152,11.579,34,-28,7,-163,-1,-974,3.199021100997925,-20.14932632446289,-11.579057693481445,-0.16879352927207947,-1.4843590259552002,-0.019032452255487442,0,0
2020-06-15,17:33:20,22.9022157,120.2730426,17.239,-51,38,-2,-92,29,-971,4.47469425201416,-31.3631591796875,-17.23933219909668,-0.16435346007347107,-1.4363460540771484,-0.003565254621207714,0,0
2020-06-15,17:33:23,22.9022083,120.2729298,20.263,46,7,-45,-22,-19,-922,3.65047287940979,-42.93158721923828,-20.26304817199707,-0.1530064195394516,-1.9008375406265259,-0.015223833732306957,0,0
2020-06-15,17:33:26,22.9021663,120.272819,20.402,20,-159,-9,-110,-23,-985,-1.0418579578399658,-54.29256057739258,-20.402406692504883,-0.17772670090198517,-2.0390896797180176,-0.002538807690143585,0,0
2020-06-15,17:33:29,22.9021184,120.2727177,20.123,62,61,102,-153,-1,-951,-6.373285293579102,-64.67829895019531,-20.123167037963867,-0.006203093566000462,-2.0050950050354004,0.028346605598926544,0,0
2020-06-15,17:33:32,22.9021207,120.2726964,19.771,18,63,1124,-29,74,-911,-6.114429473876953,-66.85868835449219,-19.771221160888672,-0.09057557582855225,-1.5937801599502563,0.1297183334827423,0,0
2020-06-15,17:33:35,22.9022093,120.2726941,19.879,-128,-33,-2,-79,96,-955,2.691835641860962,-66.98419952392578,-19.8409366607666,-0.13226613402366638,-0.064335398375988,-0.08931591361761093,0,0
2020-06-15,17:33:38,22.9023062,120.272687,20.183,89,36,591,-105,139,-965,14.541803359985352,-67.82583618164062,-20.183725357055664,0.010716313496232033,0.35737869143486023,0.07738872617483139,0,0
2020-06-15,17:33:41,22.9023242,120.2727386,20.139,-35,-62,13,-31,27,-985,16.549638748168945,-62.54038619995117,-20.139184951782227,-0.09632235765457153,1.466042399406433,-0.019788723438978195,0,0
2020-06-15,17:33:44,22.9023231,120.2728501,20.168,35,89,-74,-51,85,-974,16.423200607299805,-51.098060607910156,-20.168811798095703,-0.06898590922355652,1.485377311706543,-0.07631031423807144,0,0
2020-06-15,17:33:47,22.9023267,120.2729928,20.182,51,16,-23,-33,25,-1011,16.821544647216797,-36.467628479003906,-20.18265151977539,-0.046017877757549286,1.5229860544204712,-0.06624127924442291,0,0
2020-06-15,17:33:50,22.9023321,120.2731274,20.295,60,10,107,-59,37,-990,17.42170524597168,-22.67217254638672,-20.29501724243164,-0.07600884139537811,1.5183444023132324,-0.009906367398798466,0,0
2020-06-15,17:33:53,22.9023353,120.2732686,20.755,-36,23,-25,-12,36,-1111,17.786142349243164,-8.184282302856445,-20.755874633789062,0.05067843198776245,1.5622938871383667,0.026363514363765717,0,0
2020-06-15,17:33:56,22.9023367,120.2733196,25.755,0,-65,-23,-8,-18,-1001,17.933591842651367,-2.9632973670959473,-25.7559814453125,0.07005354762077332,1.5418219566345215,0.007948242127895355,0,0
2020-06-15,17:33:59,22.9023264,120.273321,29.747,108,1,11,43,-143,-1012,16.790237426757812,-2.8158040046691895,-29.74728775024414,0.027870401740074158,1.5304782390594482,0.08509448170661926,0,0
2020-06-15,17:34:02,22.9022596,120.2733316,30.119,-101,8,-39,87,-42,-1001,9.285834312438965,-1.7118192911148071,-30.120912551879883,0.04093361645936966,1.595592975616455,0.09028586000204086,0,0
2020-06-15,17:34:05,22.9021754,120.2733515,30.201,199,31,118,59,-86,-1087,-0.021962344646453857,0.3163033723831177,-30.201984405517578,0.13295236229896545,1.5063998699188232,-0.17997871339321136,0,0
2020-06-15,17:43:58,22.9030176,120.2731341,-0.107,5,0,-2,39,36,-998,-0.055970191955566406,-0.1497650146484375,0.10773098468780518,0.03040139749646187,-2.155477285385132,-0.0062067462131381035,0,0
2020-06-15,17:44:01,22.9030175,120.2731333,-0.147,-5,-5,-3,48,5,-995,-0.06816864013671875,-0.23113632202148438,0.14789330959320068,0.03145071119070053,-2.156339168548584,-0.006812690757215023,0,0
2020-06-15,17:44:04,22.9030169,120.2731152,0.979,-25,-51,-193,-47,39,-1022,-0.14368629455566406,-2.0835704803466797,-0.9793864488601685,-0.19709202647209167,-1.7863610982894897,0.0029345224611461163,0,0
2020-06-15,17:44:07,22.9030086,120.2730245,5.874,15,-79,-36,-187,-29,-980,-1.068333625793457,-11.383600234985352,-5.874392986297607,-0.17606806755065918,-1.7631295919418335,-0.006426719017326832,0,0
2020-06-15,17:44:10,22.9029888,120.2729073,11.282,20,0,42,-127,-32,-981,-3.2710795402526855,-23.400863647460938,-11.282770156860352,-0.1591167449951172,-1.6684329509735107,0.0379045344889164,0,0
2020-06-15,17:44:13,22.9029778,120.2727851,16.639,102,29,-4,-186,18,-1008,-4.492391586303711,-35.937992095947266,-16.639019012451172,-0.15345759689807892,-1.6582525968551636,-0.010430184192955494,0,0
2020-06-15,17:44:16,22.9029663,120.2726863,20.12,-14,57,-2,-56,18,-953,-5.772420406341553,-46.06830978393555,-20.120939254760742,0.029496539384126663,-1.6223217248916626,-0.007188647054135799,0,0
2020-06-15,17:44:19,22.9029448,120.2726667,19.818,-72,11,76,-57,80,-976,-8.15976333618164,-48.07596969604492,-19.818212509155273,-0.0023280903697013855,-1.6747699975967407,-0.08272510021924973,0,0
2020-06-15,17:44:22,22.9028747,120.2726916,20.013,-70,6,-46,-93,40,-961,-15.980804443359375,-45.526981353759766,-20.01361846923828,-0.09676025807857513,2.8859362602233887,0.04253757745027542,0,0
2020-06-15,17:44:25,22.902775,120.2727217,20.198,-64,266,-87,-106,-32,-1030,-27.077238082885742,-42.43449783325195,-20.19864845275879,-0.06125565245747566,2.8981740474700928,0.03970053419470787,0,0
2020-06-15,17:44:28,22.9027022,120.2727917,20.144,40,130,-332,-27,-51,-1008,-35.17774200439453,-35.25608825683594,-20.14478874206543,-0.00828099437057972,1.6947383880615234,-0.048048235476017,0,0
2020-06-15,17:44:31,22.9026985,120.2729031,19.87,20,-24,100,-4,-8,-961,-35.58964157104492,-23.834449768066406,-19.870607376098633,-0.0016370397061109543,1.5270274877548218,0.0013170894235372543,0,0
2020-06-15,17:44:34,22.9027085,120.2730277,20.097,46,115,165,13,48,-999,-34.4833869934082,-11.056013107299805,-20.097028732299805,-0.027769744396209717,1.5189512968063354,-0.004080533050000668,0,0
2020-06-15,17:44:37,22.9027135,120.2731335,21.958,121,46,11,9,-11,-1096,-33.929283142089844,-0.21332359313964844,-21.958890914916992,0.10330530256032944,1.471861720085144,-0.038727615028619766,0,0
2020-06-15,17:44:40,22.9027204,120.273162,28.305,-131,-1,38,96,67,-880,-33.151668548583984,2.7112560272216797,-28.305509567260742,0.10776303708553314,1.5049294233322144,-0.04559185728430748,0,0
2020-06-15,17:44:43,22.9027436,120.2731622,30.166,-67,-14,27,153,80,-942,-30.57842254638672,2.730470657348633,-30.166126251220703,0.1285177767276764,1.5174635648727417,-0.1241622194647789,0,0
2020-06-15,17:44:46,22.9028257,120.2731544,30.227,-124,11,2,121,181,-927,-21.43068504333496,1.9321155548095703,-30.227561950683594,0.10880327224731445,1.4971245527267456,-0.13114745914936066,0,0
2020-06-15,17:44:49,22.9029449,120.2731411,29.984,-9,10,-39,148,128,-900,-8.149290084838867,0.5643177032470703,-29.98421287536621,0.10530266910791397,1.469922423362732,-0.02604367583990097,0,0
2020-06-15,17:44:52,22.9030106,120.273131,30.215,-91,-72,65,20,53,-970,-0.8434963226318359,-0.464996337890625,-30.21550178527832,0.02849879488348961,1.4437696933746338,0.05989987775683403,0,0
2020-06-15,17:44:55,22.9030175,120.273134,29.943,0,-19,-1,62,38,-1007,-0.067962646484375,-0.157501220703125,-29.94396209716797,0.03218264505267143,1.545776128768921,-0.03314213827252388,0,0
2020-06-15,17:44:58,22.9030194,120.2731357,29.174,65,34,5,87,22,-905,0.13683128356933594,0.01230621337890625,-29.174592971801758,0.02035493776202202,1.5448118448257446,-0.005013731308281422,0,0
2020-06-15,17:45:01,22.9030176,120.2731358,24.491,-14,-42,-60,-12,81,-977,-0.06470298767089844,0.028162002563476562,-24.491130828857422,0.04442935436964035,1.5233337879180908,-0.04969492927193642,0,0
2020-06-15,17:45:04,22.9030184,120.2731364,20.378,37,-49,-49,103,-35,-971,0.031355857849121094,0.0900421142578125,-20.378416061401367,0.05750362575054169,1.539848804473877,-0.03340821713209152,0,0
2020-06-15,17:45:07,22.9030172,120.2731357,15.608,128,-52,-28,75,127,-938,-0.10843658447265625,0.016923904418945312,-15.608518600463867,0.027848180383443832,1.5441395044326782,-0.03400097414851189,0,0
2020-06-15,17:45:10,22.9030178,120.2731346,11.047,-86,108,-24,46,85,-966,-0.03540325164794922,-0.09853172302246094,-11.047826766967773,0.04140947386622429,1.5464996099472046,-0.027675505727529526,0,0
2020-06-15,17:45:13,22.9030174,120.2731345,9.038,4,35,-3,40,104,-960,-0.08785438537597656,-0.1119842529296875,-9.038395881652832,0.040663670748472214,1.5010223388671875,-0.049887482076883316,0,0
2020-06-15,17:45:16,22.9030182,120.273137,7.607,67,46,20,84,-34,-1016,0.0009469985961914062,0.15136337280273438,-7.607261657714844,0.0830148309469223,1.498666524887085,-0.06597160547971725,0,0
2020-06-15,17:45:19,22.9030187,120.2731358,6.064,57,-24,-34,86,-11,-1034,0.05986785888671875,0.02887725830078125,-6.0648393630981445,0.03208883851766586,1.5380237102508545,-0.01890547201037407,0,0
2020-06-15,17:45:22,22.9030179,120.2731364,4.502,102,-34,13,43,67,-971,-0.03225421905517578,0.08902549743652344,-4.502050399780273,0.04626605659723282,1.4903035163879395,-0.01912182942032814,0,0
